STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
USW00024222,"EVERETT SNOHOMISH CO AIRPORT, WA US",47.90778,-122.28028,184.7,1/1/2020,51,",,W",43,",,W"
USW00024222,"EVERETT SNOHOMISH CO AIRPORT, WA US",47.90778,-122.28028,184.7,1/2/2020,48,",,W",38,",,W"
USW00024222,"EVERETT SNOHOMISH CO AIRPORT, WA US",47.90778,-122.28028,184.7,1/3/2020,58,",,W",45,",,W"
USW00024222,"EVERETT SNOHOMISH CO AIRPORT, WA US",47.90778,-122.28028,184.7,1/4/2020,45,",,W",37,",,W"
USW00024222,"EVERETT SNOHOMISH CO AIRPORT, WA US",47.90778,-122.28028,184.7,1/5/2020,44,",,W",40,",,W"
USW00024222,"EVERETT SNOHOMISH CO AIRPORT, WA US",47.90778,-122.28028,184.7,1/6/2020,51,",,W",40,",,W"
USW00024222,"EVERETT SNOHOMISH CO AIRPORT, WA US",47.90778,-122.28028,184.7,1/7/2020,53,",,W",43,",,W"
USW00024222,"EVERETT SNOHOMISH CO AIRPORT, WA US",47.90778,-122.28028,184.7,1/8/2020,43,",,W",34,",,W"
USW00024222,"EVERETT SNOHOMISH CO AIRPORT, WA US",47.90778,-122.28028,184.7,1/9/2020,40,",,W",34,",,W"
USW00024222,"EVERETT SNOHOMISH CO AIRPORT, WA US",47.90778,-122.28028,184.7,1/10/2020,44,",,W",33,",,W"
USW00024222,"EVERETT SNOHOMISH CO AIRPORT, WA US",47.90778,-122.28028,184.7,1/11/2020,43,",,W",37,",,W"
USW00024222,"EVERETT SNOHOMISH CO AIRPORT, WA US",47.90778,-122.28028,184.7,1/12/2020,41,",,W",30,",,W"
USW00024222,"EVERETT SNOHOMISH CO AIRPORT, WA US",47.90778,-122.28028,184.7,1/13/2020,31,",,W",25,",,W"
USW00024222,"EVERETT SNOHOMISH CO AIRPORT, WA US",47.90778,-122.28028,184.7,1/14/2020,34,",,W",24,",,W"
USW00024222,"EVERETT SNOHOMISH CO AIRPORT, WA US",47.90778,-122.28028,184.7,1/15/2020,38,",,W",29,",,W"
USW00024222,"EVERETT SNOHOMISH CO AIRPORT, WA US",47.90778,-122.28028,184.7,1/16/2020,41,",,W",30,",,W"
USW00024222,"EVERETT SNOHOMISH CO AIRPORT, WA US",47.90778,-122.28028,184.7,1/17/2020,39,",,W",29,",,W"
USW00024222,"EVERETT SNOHOMISH CO AIRPORT, WA US",47.90778,-122.28028,184.7,1/18/2020,46,",,W",36,",,W"
USW00024222,"EVERETT SNOHOMISH CO AIRPORT, WA US",47.90778,-122.28028,184.7,1/19/2020,51,",,W",42,",,W"
USW00024222,"EVERETT SNOHOMISH CO AIRPORT, WA US",47.90778,-122.28028,184.7,1/20/2020,51,",,W",46,",,W"
USW00024222,"EVERETT SNOHOMISH CO AIRPORT, WA US",47.90778,-122.28028,184.7,1/21/2020,50,",,W",43,",,W"
USW00024222,"EVERETT SNOHOMISH CO AIRPORT, WA US",47.90778,-122.28028,184.7,1/22/2020,47,",,W",42,",,W"
USW00024222,"EVERETT SNOHOMISH CO AIRPORT, WA US",47.90778,-122.28028,184.7,1/23/2020,53,",,W",46,",,W"
USW00024222,"EVERETT SNOHOMISH CO AIRPORT, WA US",47.90778,-122.28028,184.7,1/24/2020,52,",,W",46,",,W"
USW00024222,"EVERETT SNOHOMISH CO AIRPORT, WA US",47.90778,-122.28028,184.7,1/25/2020,50,",,W",44,",,W"
